"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","40","1","1","33.154881","0","172"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","28","10","1","26.210340","0","90"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","33","1","1","49.670673","0","113"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","33","5","1","49.615639","0","104"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","33","5","1","51.679649","0","104"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","54","2","1","157.945709","0","328"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","118","5","1","121.619621","0","1036"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","33","10","1","50.447666","0","167"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","33","10","1","49.145817","0","120"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","0","33","9","1","44.541534","0","154"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","33","10","1","45.074642","0","168"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","0","33","5","1","46.755753","0","156"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","33","8","1","46.631561","0","145"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","33","10","1","45.887623","0","164"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","33","3","1","44.323673","0","144"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","33","10","1","47.412010","0","138"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","33","10","1","49.986454","0","157"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","33","1","1","47.829674","0","158"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","33","10","1","47.506275","0","155"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","33","9","1","45.526932","0","157"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","33","10","1","45.636665","0","178"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","33","5","1","45.570965","0","135"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","33","8","1","44.834618","0","107"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","33","10","1","44.961742","0","165"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","33","10","1","44.734943","0","104"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","33","10","1","48.230324","0","163"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","33","10","1","45.318241","0","160"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","33","10","1","46.198025","0","166"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","0","33","10","1","45.914433","0","137"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","0","33","9","1","46.427475","0","158"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","0","33","6","1","54.745132","0","171"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","33","6","1","53.327862","0","174"
